Total unique biomarkers: 475

====================================================================================================
Biomarker names with statistics (sorted by rank):
====================================================================================================
Rank     Studies    Category                  Biomarker Name
----------------------------------------------------------------------------------------------------
1        0          Physical parameter        Predicted mass
2        0          Electrocardiography       Atrioventricular block
3        0          Physical parameter        Fat-free mass
4        0          Computed tomography       Coronary artery calcification score
5        0          Physical parameter        Body water mass
6        0          Urine                     Microalbuminuria
7        0          Physical parameter        Body mass index
8        0          Physical parameter        Pulse rate
9        0          Other                     Basal metabolic rate
10       0          Blood                     Apolipoprotein A-1
11       0          Blood                     Alanine transaminase
12       0          Composite                 C-reactive protein, albumin, gamma-glutamyl transferase, and high-density lipoprotein cholesterol
13       0          Blood                     Estimated glomerular filtration rate
14       0          Epigenetics               CpG methylation score
15       0          Physical parameter        Bioelectrical impedance
16       0          Other                     Brachial-ankle pulse wave velocity
17       0          Other                     Skeletal muscle mass
18       0          Exercise test             Exercise capacity
19       0          Blood                     Hemoglobin
20       0          Composite                 Adiponectin and body mass index
21       0          Echocardiography          Left ventricular ejection fraction
22       0          Blood                     IgG
23       0          Blood                     Red blood cell count
24       0          Exercise test             Vertical jump
25       0          Electrocardiography       Left ventricular hypertrophy
26       0          Composite                 Large-vessel peripheral artery disease
27       0          Blood                     Brain natriuretic peptide
28       0          Urine                     Albuminuria
29       0          Blood                     Cholesterol
30       0          Physical parameter        Fat percentage
31       0          Blood                     Homocysteine
32       0          Blood                     25-hydroxyvitamin D
33       0          Ultrasonography           Carotid artery plaque
34       0          Composite                 Metabolic syndrome
35       0          Ultrasonography           Ejection fraction
36       0          Spirometry                Forced expiratory volume in 1 second divided by height
37       0          Blood                     Estradiol-to-sex hormone binding globulin ratio
38       0          Electrocardiography       Axis deviation
39       0          Physical parameter        Arm circumference
40       0          Physical parameter        Skinfold thickness
41       0          Electrocardiography       Q-QS
42       0          Blood                     Hematocrit
43       0          Blood                     Red blood cell distribution width
44       0          Blood                     ApoB/ApoA1 ratio
45       0          Composite                 Lipid accumulation product
46       0          Blood                     Gamma-glutamyltransferase
47       0          Sphygmomanometry          Blood pressure
48       0          Exercise test             Strength
49       0          Blood                     Glucose
50       0          Composite                 HBP+HG+TG+HDL
51       0          Physical parameter        Fat mass
52       0          Echocardiography          Severe diastolic dysfunction
53       0          Blood                     IgA to tissue transglutaminase
54       0          Blood                     Neutrophilia
55       0          Physical parameter        Body mass index squared
56       0          Blood                     Cardiac troponin T, high-sensitivity
57       0          Blood                     C-reactive protein
58       0          Composite                 Body mass index and leg extensor strength
59       0          Exercise test             Walking speed
60       0          Physical parameter        Body fat percentage
61       0          Blood                     Growth differentiation factor 15
62       0          Electrocardiography       ST abnormalities
63       0          Blood                     N-terminal atrial natriuretic peptide
64       0          Blood                     Albumin, serum/plasma
65       0          Electrocardiography       High R wave
66       0          Blood                     Mean corpuscular volume
67       0          Spirometry                Peak expiratory flow
68       0          Blood                     White blood cell count
69       0          Blood                     Cardiac troponin I
70       0          Ultrasonography           Carotid intima-media thickness
71       0          Spirometry                Forced expiratory volume
72       0          Blood                     Cotinine
73       0          Electrocardiography       ST-T segment changes
74       0          Physical parameter        Waist-to-thigh ratio
75       0          Ultrasonography           Intima-media echogenicity
76       0          Physical parameter        Lean mass index
77       0          Physical parameter        Ambulatory heart rate
78       0          Blood                     Glycated hemoglobin
79       0          Blood                     Cell-free DNA concentration
80       0          Spirometry                Forced vital capacity
81       0          Exercise test             Cardiorespiratory fitness
82       0          Electrocardiography       Myocardial infarction
83       0          Physical parameter        Resting heart rate
84       0          Electrocardiography       Electrocardiogram Minnesota code 7-1
85       0          Blood                     Insulin-like growth factor binding protein 1
86       0          Composite                 QRS|T angle + Left bundle branch block
87       0          Composite                 Forced vital capacity & inflammation-sensitive proteins
88       0          Blood                     Subclinical hyperthyroidism
89       0          Electrocardiography       QRS|T angle
90       0          Blood                     N-terminal pro-brain natriuretic peptide
91       0          Composite                 C-reactive protein (high-sensitivity), white blood cell count, and serum albumin
